TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
109,CUST1913,ACC64393,Credit,Withdrawal,Home Loan,Firm A,West,Manager 1,17-07-2023,47387.11457,2980.571037,0.780701036,784,170
19,CUST1569,ACC66190,Current,Payment,Personal Loan,Firm C,South,Manager 4,13-01-2023,55806.54015,27996.69007,0.299267659,336,197
14,CUST5558,ACC71426,Current,Withdrawal,Mutual Fund,Firm C,North,Manager 2,28-09-2023,51080.47837,81482.15618,0.388445047,712,95
107,CUST4241,ACC49422,Loan,Deposit,Credit Card,Firm D,Central,Manager 1,05-02-2023,70472.70472,39598.37194,0.561809198,414,168
7,CUST2578,ACC88252,Loan,Deposit,Savings Account,Firm B,East,Manager 4,19-11-2023,29830.48767,111731.9937,0.655635048,391,20
70,CUST5664,ACC35419,Loan,Withdrawal,Home Loan,Firm E,South,Manager 4,24-05-2023,70066.06961,60139.88838,1.125174467,625,46
90,CUST7855,ACC16241,Loan,Transfer,Credit Card,Firm D,Central,Manager 3,21-02-2024,42066.63658,61265.23785,0.484136315,534,226
37,CUST6210,ACC11062,Savings,Transfer,Mutual Fund,Firm C,North,Manager 2,14-02-2023,66872.64962,-9084.224009,0.354047864,737,190
12,CUST1121,ACC57700,Credit,Transfer,Personal Loan,Firm B,South,Manager 4,23-03-2024,12765.97689,32951.9464,0.35022139,402,14
36,CUST2626,ACC55729,Loan,Transfer,Home Loan,Firm D,West,Manager 1,30-09-2023,63450.48439,73382.11626,0.504168713,417,217
74,CUST9564,ACC92360,Savings,Transfer,Savings Account,Firm A,South,Manager 3,07-03-2023,86691.85916,13121.81335,0.396828404,325,173
100,CUST5351,ACC32890,Credit,Deposit,Personal Loan,Firm C,South,Manager 3,06-04-2024,78791.44643,50779.78481,0.639159334,453,114
63,CUST7002,ACC76597,Current,Deposit,Personal Loan,Firm E,West,Manager 3,17-02-2024,65971.80422,52324.17375,0.506482939,473,77
1,CUST3602,ACC31902,Current,Deposit,Credit Card,Firm D,Central,Manager 2,15-05-2023,103237.5876,65592.20909,0.599326659,490,134
163,CUST2842,ACC80131,Credit,Deposit,Mutual Fund,Firm C,South,Manager 4,19-04-2023,56748.43505,33288.49108,0.46315795,516,115
83,CUST2915,ACC57597,Savings,Deposit,Credit Card,Firm A,South,Manager 1,23-03-2024,30242.60095,46827.68002,0.236370294,587,41
39,CUST8416,ACC22799,Loan,Payment,Home Loan,Firm E,East,Manager 1,24-05-2023,23522.49096,30903.9781,0.257116909,511,202
67,CUST5121,ACC70741,Credit,Withdrawal,Credit Card,Firm A,South,Manager 4,16-10-2023,102114.787,68977.69984,0.709799465,320,220
89,CUST5320,ACC11062,Credit,Transfer,Credit Card,Firm D,South,Manager 4,26-04-2023,65270.65263,108443.4337,0.285833484,356,171
17,CUST8874,ACC41829,Savings,Deposit,Savings Account,Firm E,West,Manager 4,05-07-2023,56071.52812,59983.94522,0.14932721,427,174
87,CUST2694,ACC49422,Credit,Deposit,Savings Account,Firm B,East,Manager 1,12-01-2024,84272.72499,158010.5855,0.348510014,664,234
21,CUST9248,ACC21264,Current,Transfer,Credit Card,Firm A,South,Manager 2,26-09-2023,107469.8689,16320.64053,0.669342904,737,42
45,CUST5500,ACC78581,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 4,22-08-2023,97319.12594,54321.85877,1.068751471,389,77
86,CUST5920,ACC45968,Credit,Withdrawal,Credit Card,Firm E,West,Manager 1,22-03-2024,41370.48994,54037.44755,0.247543133,509,74
45,CUST7255,ACC28305,Loan,Payment,Savings Account,Firm D,West,Manager 1,16-04-2024,70859.79772,42987.10407,0.488828668,720,127
137,CUST6937,ACC21429,Loan,Deposit,Mutual Fund,Firm D,North,Manager 4,08-03-2023,54266.42414,51965.7576,0.766783829,660,8
24,CUST6526,ACC22036,Current,Withdrawal,Mutual Fund,Firm C,North,Manager 4,06-11-2023,26928.53973,130969.9521,0.710901325,650,228
26,CUST4258,ACC10117,Loan,Transfer,Home Loan,Firm D,South,Manager 2,12-01-2024,51263.08136,71720.724,0.375031775,522,156
197,CUST2942,ACC94907,Loan,Deposit,Savings Account,Firm B,West,Manager 3,01-03-2024,40232.32905,82512.14957,0.494039913,381,131
168,CUST9038,ACC97411,Savings,Withdrawal,Home Loan,Firm D,South,Manager 3,24-05-2024,26961.5346,82739.85306,0.360150348,655,120
85,CUST1547,ACC51200,Credit,Withdrawal,Credit Card,Firm E,West,Manager 3,11-08-2023,50230.02764,112218.4176,0.314522713,328,190
130,CUST3378,ACC95774,Savings,Transfer,Mutual Fund,Firm B,East,Manager 3,01-04-2024,51863.94276,47639.3909,0.191819181,629,79
23,CUST2427,ACC49180,Current,Deposit,Mutual Fund,Firm D,Central,Manager 4,26-03-2023,49730.35602,68419.92021,0.36296673,691,111
191,CUST1962,ACC19156,Loan,Deposit,Savings Account,Firm C,Central,Manager 3,19-10-2023,60352.03216,107420.6704,0.118284026,644,83
63,CUST6028,ACC46655,Loan,Payment,Personal Loan,Firm A,South,Manager 3,04-10-2023,34609.34583,58062.00411,0.252118047,454,23
154,CUST4684,ACC49180,Savings,Payment,Home Loan,Firm C,East,Manager 2,12-03-2024,70546.81561,71713.24546,0.313182311,309,26
120,CUST3109,ACC16241,Current,Withdrawal,Personal Loan,Firm B,South,Manager 1,16-08-2023,76719.95995,66713.97845,0.305677272,444,54
186,CUST9420,ACC70460,Current,Payment,Home Loan,Firm B,Central,Manager 3,29-05-2023,85979.37362,49283.84991,0.357729149,690,174
106,CUST2842,ACC62446,Credit,Withdrawal,Home Loan,Firm C,West,Manager 3,20-10-2023,48977.93428,66955.43253,-0.014391066,336,73
28,CUST1768,ACC90887,Savings,Deposit,Mutual Fund,Firm C,West,Manager 1,19-06-2023,79406.9129,98438.28277,0.244233469,475,123
72,CUST1887,ACC67713,Current,Transfer,Personal Loan,Firm B,Central,Manager 4,15-05-2023,34273.32087,85988.71459,0.442011501,480,55
44,CUST6837,ACC78581,Loan,Withdrawal,Home Loan,Firm B,Central,Manager 1,21-02-2024,-1714.007479,92170.72131,0.651858007,750,7
19,CUST8660,ACC21878,Loan,Transfer,Mutual Fund,Firm B,North,Manager 4,28-01-2023,-5999.830426,120559.8132,0.726679529,537,122
48,CUST9843,ACC24880,Loan,Deposit,Savings Account,Firm B,North,Manager 2,28-05-2024,97613.15103,46682.43838,0.333824297,592,237
144,CUST1747,ACC28295,Credit,Deposit,Personal Loan,Firm B,South,Manager 4,03-10-2023,99540.38292,99148.68615,0.455239894,661,51
33,CUST9420,ACC48501,Loan,Withdrawal,Mutual Fund,Firm B,Central,Manager 2,01-07-2023,64702.61885,82796.28151,0.086952975,378,67
148,CUST8765,ACC53865,Current,Transfer,Home Loan,Firm D,North,Manager 1,05-02-2024,46714.21248,71086.91249,0.383167103,570,215
133,CUST2626,ACC64022,Loan,Withdrawal,Personal Loan,Firm B,East,Manager 3,17-11-2023,45271.89474,87001.85004,0.01570544,474,166
1,CUST2357,ACC32627,Credit,Payment,Mutual Fund,Firm A,West,Manager 3,26-10-2023,15770.63227,104346.9774,0.88933037,534,82
